Classifier	Classifier param 	Feature 	Age Group 	Avg. Correct 	Avg. Accuracy 	BTRG
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(12, 23, 100)	99.2	0.594011976048	1.78203592814
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(7, 15, 22, 100)	76.8	0.459880239521	1.83952095808
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	49.0	0.293413173653	1.17365269461
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	53.8	0.322155688623	1.93293413174
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	113.8	0.681437125749	2.04431137725
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	58.6	0.350898203593	1.40359281437
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	27.6	0.165269461078	0.661077844311
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	14.8	0.088622754491	0.531736526946
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	111.4	0.667065868263	2.00119760479
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 10, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	63.4	0.379640718563	1.51856287425
